PATH	DISPOSITION	PROPOSED_SCOPE
BOOTSTRAP_BRANCHES.txt	RECLASSIFY	RECOVERY_CENSUS_EVIDENCE
BOOTSTRAP_FILES.txt	RECLASSIFY	RECOVERY_CENSUS_EVIDENCE
BOOTSTRAP_FOLDER.txt	RECLASSIFY	RECOVERY_CENSUS_EVIDENCE
BOOTSTRAP_TOP.txt	RECLASSIFY	RECOVERY_CENSUS_EVIDENCE
ENTRY_POINTS.txt	RECLASSIFY	RECOVERY_CENSUS_EVIDENCE
INGESTION_FILES.txt	RECLASSIFY	RECOVERY_CENSUS_EVIDENCE
CONVERSATION_CORPUS_VERIFIED.json	RECLASSIFY	INGESTION_CORPUS_EVIDENCE
MILESTONE_002_CONVERSATION_CORPUS.md	RECLASSIFY	INGESTION_MILESTONE_EVIDENCE
INGESTER_CODE.tar	RECLASSIFY	INGESTER_RECOVERY_SNAPSHOT
PHONE_ACTIVE_STATE.txt	RECLASSIFY	HISTORICAL_REPOSITORY_STATE
REPOSITORY_STATUS.txt	RECLASSIFY	HISTORICAL_REPOSITORY_STATE
ade/services/ingestion/INGESTER_CONTRACT_v0.1.md	RECLASSIFY_IN_PLACE	IMPLEMENTATION_CONTRACT
discover_conversations.py	COMPARE_WITH_INTENDED_DESTINATION	INGESTION_DISCOVERY_UTILITY
workspace/operational/current/state-model-candidates.lst	REMOVE_FROM_ACTIVE_SCOPE	FAILED_STATE_DISCOVERY_EVIDENCE
workspace/operational/current/state-references.clean.out	REMOVE_FROM_ACTIVE_SCOPE	FAILED_STATE_DISCOVERY_EVIDENCE
workspace/operational/current/state-references.out	REMOVE_FROM_ACTIVE_SCOPE	FAILED_STATE_DISCOVERY_EVIDENCE
