RECORD_TYPE=Mobile Bridge Manual Review Packet
STATUS=Evidence
SOURCE_FILE=workspace/operational/repository_state/mobile_bridge/MOBILE_BRIDGE_SEMANTIC_DISPOSITIONS_20260806T145927Z.txt
SOURCE_FILE_SHA256=68a1b6f3a43b3331010bdb8f97098f279ad234cf24dc461aba782248584b9d71

STATUS	PROPOSED_CATEGORY	CURRENT_CATEGORY	FINDINGS	PATH	SIZE	SHA256
MANUAL_PLACEMENT_REVIEW	12				MISSING	MISSING
MANUAL_SEMANTIC_REVIEW	4				MISSING	MISSING
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	BOOTSTRAP_BRANCHES.txt	263	c19c9b88d2d2dde27ef0835d6345f6d9c95e8a15c1fb1e37aa669a8b5d41c51e
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	BOOTSTRAP_FILES.txt	9230	624aff0718a306a34491b6a07f32f72fdffc6c6771c997856392bf7d8f9e5505
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	BOOTSTRAP_FOLDER.txt	206	e8312b9ec692a2e9e103a9df95499581ab70039c9b595314c92518d2601b4c20
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	BOOTSTRAP_TOP.txt	1536	8c64dab60265196f41ea9307292991ec3e1f4231211b02b1d49800371f9fcf97
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	CONVERSATION_CORPUS_VERIFIED.json	7350	1afad4cd40a40585b91869a3f523f0b18e028e5bc951a9a31daabd295a099b8c
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	ENTRY_POINTS.txt	20557	f518379bf1fc648dbc0ec97b09013d1376059a1dba5ae6d4a22920423c8af5d5
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	INGESTER_CODE.tar	153600	5b98a785714489dac284798df84a5c30a7044fc5383678b9200d31b225f21613
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	INGESTION_FILES.txt	108017	fc4994cf2af9398e6759375eaff36b32b166955a217e72836b5fc4034418e20f
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	MILESTONE_002_CONVERSATION_CORPUS.md	823	60d7e07e2222513b9e58409a3c9dd3285996b470e035841f9c4197fecdc34fcd
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	PHONE_ACTIVE_STATE.txt	109946	fbd04660ef55a109139db39f7afa6094ac93f647ce56dc5246c73b34f05f7497
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	REPOSITORY_STATUS.txt	1561	45cda5466fd9341cad502dba7c36626d5b87677fc68dc1b0c5d40db04e60736d
MANUAL_SEMANTIC_REVIEW	UNDECIDED	EXECUTABLE_SOURCE	NON_PYTHON_EXECUTABLE_SOURCE_REVIEW	ade/services/ingestion/INGESTER_CONTRACT_v0.1.md	2005	16e7d04692042997627af50ae1e60e11456c9175e00a92ee7478cce715455857
MANUAL_PLACEMENT_REVIEW	UNDECIDED	ROOT_LEVEL_RECOVERY_ARTIFACT	ROOT_PLACEMENT_REVIEW	discover_conversations.py	2651	6e4fa40f69f1f8237ceb7bbbf21648a4228566662df110158884679519edb5e7
MANUAL_SEMANTIC_REVIEW	UNDECIDED	CURRENT_STATE_CANDIDATE	MACHINE_STATE_CANDIDATE_REVIEW	workspace/operational/current/state-model-candidates.lst	59	c467391985141fdbf18e45b8eb50acd7f770a2810dfbb1013a34ec45f0984419
MANUAL_SEMANTIC_REVIEW	UNDECIDED	CURRENT_STATE_CANDIDATE	MACHINE_STATE_CANDIDATE_REVIEW	workspace/operational/current/state-references.clean.out	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
MANUAL_SEMANTIC_REVIEW	UNDECIDED	CURRENT_STATE_CANDIDATE	MACHINE_STATE_CANDIDATE_REVIEW	workspace/operational/current/state-references.out	314488	392369f213e0d8b5d074ee16f29684218eb75cd233b0d26418388e3f48f78d5a
