chat_id	file	chars	you_said	chatgpt_said	user	assistant	you	chatgpt
6a64c968-a09c-83ea-bb2a-cf52be1e5f26	ADE Workflow Automation Prompts.pdf	12763	0	0	0	0	0	0
6a5e82d8-d95c-83ea-95a0-cf2e9478dbe7	AOS Repository.pdf	105269	0	0	0	0	0	0
6a62dd8b-6a30-83ea-b3bf-385fea194b14	Bootstrap Preparation Checklist.pdf	66502	0	0	0	0	0	0
6a60eabf-0cc0-83ea-81da-291e887bf3bf	Forensic Parser Workflow.pdf	156275	0	0	0	0	0	0
6a64507b-5de4-83ea-8794-5a5578cbc497	Free ChatGPT Plugins for ADE.pdf	7456	0	0	0	0	0	0
6a63df62-ea3c-83ea-b933-f991dea37687	GitHub Access Limitations.pdf	16779	0	0	0	0	0	0
6a642757-94f4-83ea-9bfb-62d178690f51	GitHub PR Inspection.pdf	1688	0	0	0	0	0	0
6a647a8e-5558-83ea-a723-a2ae78eefa95	Moving files in GitHub.pdf	2598	0	0	0	0	0	0
6a640adb-3070-83ea-8bc2-f60034dc48bf	OAuth Error Investigation.pdf	24659	0	0	0	0	0	0
6a5e609a-a434-83ea-bdd1-75d163f5a9ab	Project Organization Strategy.pdf	9178	0	0	0	0	0	0
6a64282b-0498-83ea-aece-33604118a4ee	Repo Not Found.pdf	3156	0	0	0	0	0	0
