path	bytes	mtime_utc	sha256
./BOOTSTRAP/Bootstrap - Epoch II — Post Milestone 002 - Constitutional Kernel - Operational Bootstrap.md	7514	2026-08-08T01:00:40Z	86d697c3535e6ecbece02bf818d4c2eae8992cc66851ee4f8c798507290a29b9
./MILESTONE_002_CONVERSATION_CORPUS.md	823	2026-08-08T01:00:23Z	60d7e07e2222513b9e58409a3c9dd3285996b470e035841f9c4197fecdc34fcd
./evidence/HUMAN_INTERFACE_LANGUAGE_FORMS_REVIEW_CLOSURE.md	2031	2026-08-08T01:00:52Z	2939d6d93b470ac391f6f8a729a5b8fb526a235b7f55577621bead43036e60c4
./workspace/operational/corpus/chatgpt/Foundation_Summit_001.md	4098	2026-08-08T01:01:01Z	98eb247eff3f308ff3598f737ab28639f3651b63dcb42ae2307bc97f304f20a0
./workspace/operational/ingestion/evidence/HISTORICAL_AKS_HANDBOOK_AGGREGATE_CLOSURE.txt	1625	2026-08-08T14:12:23Z	e0664437329ad97262c23992c4cf9bc860ce22818cae0a8e2f6f03d86621f05a
./workspace/operational/ingestion/evidence/HISTORICAL_AKS_HANDBOOK_JSON_IDENTITY_CLOSURE.txt	726	2026-08-08T13:51:29Z	1b6748a2659c43508e751f3282273fc19343a1fd414d7f1bf126545e42a61454
./workspace/operational/ingestion/evidence/HISTORICAL_DOCX_IDENTITY_CLOSURE.txt	751	2026-08-08T13:12:00Z	e5700f78f981d61d880f3a336fbf6159a0745f5ec64e04ade524440a411524c4
./workspace/operational/ingestion/evidence/HISTORICAL_FORENSIC_JSON_IDENTITY_CLOSURE.txt	1101	2026-08-08T13:46:00Z	b656f08c1f05cf1277c738b271d881c6730560714874930ac1e353ca602f0528
./workspace/operational/ingestion/evidence/HISTORICAL_FORENSIC_START_AOS_RELATIONSHIP_CLOSURE.txt	1251	2026-08-08T14:15:04Z	57c98df748f22851f57207f17159c3b94817f75eb2aaf546467f3d933131e323
./workspace/operational/ingestion/evidence/HISTORICAL_JSON_WRAPPER_FRONTIER_CLOSURE.txt	1063	2026-08-08T13:49:51Z	7d1c429bad50fcfb28e45fa45306866c8b9bff1e73907bea3c87dd122091d660
./workspace/operational/ingestion/evidence/HISTORICAL_PDF_CROSS_REPRESENTATION_CLOSURE.txt	1099	2026-08-08T14:01:53Z	1a17807192fc7378b89f935a1f43234fbe81402dafd3183521b04b6d1ea36630
./workspace/operational/ingestion/evidence/HISTORICAL_PDF_IDENTITY_CLOSURE.txt	705	2026-08-08T13:40:15Z	1be76d74a94ec217553d2d1d12c2225bef8bdd64e352e7081c6cc43be997d70b
./workspace/operational/ingestion/evidence/MILESTONE_002_CONVERSATION_CORPUS.md	823	2026-08-08T01:01:21Z	60d7e07e2222513b9e58409a3c9dd3285996b470e035841f9c4197fecdc34fcd
./workspace/operational/ingestion/evidence/PHONE_DOWNLOAD_PDF_IDENTITY_CLOSURE.txt	1785	2026-08-08T14:07:02Z	6352155d17b5173305a5f158f89a977feb1983ea818717d16274db8f88388f67
./workspace/operational/ingestion/evidence/VERIFIED24_EVACUATED_PATH_REBIND_CLOSURE.txt	660	2026-08-08T13:57:47Z	de75572d368e6425a7ae0122f555f1633e3993898cbfb564de79880438fab772
./workspace/operational/ingestion/output/ING-20260804-0019/source/Implementation_Milestones_v0.1.md	4511	2026-08-08T01:01:37Z	444d7902f6dbb4762735102ffce17e566778891512fbe733217e40a1a42d6a49
./workspace/operational/ingestion/reports/MILESTONE_001_SUMMARY.md	1168	2026-08-08T01:02:30Z	84ceab98fb47cbb2f03b0d79b0d935303b9f25b1adaad0a8bd906ef770cb143a
./workspace/operational/mobile_bridge/BRIDGE_VALIDATION_CLOSURE.md	1286	2026-08-08T10:48:38Z	0a5e4d6dd184d8ef7ee1ff1553d008d04cf51fddcd4e29a42dbc654dbef4e58f
./workspace/operational/mobile_bridge/evidence/FORGE_BRIDGE_CLOSURE_20260808T104838Z.txt	1335	2026-08-08T10:48:38Z	d702a194104540377dc126a8d751545c702ccf65b4a3fd2a526f1ffbb0e3434f
./workspace/operational/mobile_bridge/source/CHANGELOG.md	13978	2026-08-08T07:59:22Z	c0135eec66a8f88e85b8208946f9e06a6151cae8e6bfe53f462f9849c0a6eed1
./workspace/operational/preservation/PP-0001.md	216	2026-08-08T01:02:31Z	f957820dba3277ea9283c0a57d5279730f5a0e3fe12b008389e79594248cfb03
./workspace/operational/preservation/PP-006.md	1483	2026-08-08T01:02:31Z	7d82c2f3b7ac766c6ea80e2d08f6fbbc462c199f8c4fd2df8f47ac14b8f4285e
./workspace/operational/repository_state/meta-changelog-recovery/META_CHANGELOG_SOURCE_CANDIDATES.tsv	3728	2026-08-08T14:37:30Z	9bf2fd058c6056fbe7c862bf152efd1ea15215ea2ba7609f52365d21b23e1aae
